Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/26/2025,02/27/2025,APPLE.COM/BILL,Shopping,Sale,-8.65,
02/24/2025,02/24/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.28,
02/23/2025,02/24/2025,SAMS CLUB #6422,Gas,Sale,-12.24,
02/23/2025,02/24/2025,WAL-MART #398,Groceries,Sale,-118.44,
02/23/2025,02/24/2025,SAMSCLUB #6422,Shopping,Sale,-63.82,
02/22/2025,02/23/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
02/21/2025,02/23/2025,FILM ALLEY LONGVIEW,Entertainment,Sale,-23.00,
02/21/2025,02/23/2025,ARAMARK TEXAS EASTMAN,Food & Drink,Sale,-5.53,
02/19/2025,02/20/2025,ARAMARK TEXAS EASTMAN,Food & Drink,Sale,-12.00,
02/18/2025,02/20/2025,FILM ALLEY LONGVIEW,Entertainment,Sale,-16.24,
02/16/2025,02/17/2025,CN LANDING RESORT,Food & Drink,Sale,-15.00,
02/15/2025,02/17/2025,BEAVERS BEND BREWERY,Food & Drink,Sale,-15.38,
02/16/2025,02/17/2025,WAL-MART #398,Groceries,Sale,-74.22,
02/16/2025,02/17/2025,SAMSCLUB #6422,Gas,Sale,-16.89,
02/17/2025,02/17/2025,D J*WSJ,Bills & Utilities,Sale,-4.33,
02/16/2025,02/17/2025,SAMSCLUB #6422,Shopping,Sale,-13.43,
02/14/2025,02/16/2025,TST*GRATEFUL HEAD PIZZA,Food & Drink,Sale,-32.98,
02/14/2025,02/16/2025,JAGGERS FR #795,Food & Drink,Sale,-14.27,
02/12/2025,02/14/2025,OIL BOWL,Entertainment,Sale,-17.95,
02/13/2025,02/14/2025,WAL-MART #3828,Groceries,Sale,-30.33,
02/12/2025,02/13/2025,WAL-MART #3828,Groceries,Sale,-4.77,
02/12/2025,02/13/2025,DOLLARTREE,Shopping,Sale,-39.24,
02/09/2025,02/10/2025,SAMS SCAN-N-GO,Shopping,Sale,-69.20,
02/08/2025,02/09/2025,SAMSCLUB #4109,Gas,Sale,-20.22,
02/07/2025,02/09/2025,CHICK-FIL-A #00862,Food & Drink,Sale,-12.28,
02/07/2025,02/09/2025,ARAMARK TEXAS EASTMAN,Food & Drink,Sale,-7.05,
02/05/2025,02/06/2025,PY*TNT INTERNET &amp; TV,Bills & Utilities,Sale,-55.00,
02/03/2025,02/04/2025,SAMSCLUB #6422,Gas,Sale,-20.30,
02/02/2025,02/03/2025,SAMS SCAN-N-GO,Shopping,Sale,-30.78,
02/02/2025,02/03/2025,SAMSCLUB #6422,Gas,Sale,-16.96,
02/02/2025,02/03/2025,WAL-MART #398,Groceries,Sale,-90.24,
02/01/2025,02/02/2025,Payment Thank You - Web,,Payment,2842.26,
